Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
202	Spectrogram 1	1	3033.639315764	3034.204882746	1867.100	2187.000	C	
213	Spectrogram 1	1	3076.015476314	3076.581043295	1867.100	2187.000	C	
223	Spectrogram 1	1	3116.162534720	3116.728101702	1867.100	2187.000	C	
231	Spectrogram 1	1	3147.927240272	3148.492807253	1867.100	2187.000	C	
242	Spectrogram 1	1	3190.442719706	3191.008286688	1867.100	2187.000	C	
249	Spectrogram 1	1	3217.075846364	3217.641413346	1867.100	2187.000	C	
256	Spectrogram 1	1	3243.337455998	3243.903022979	1867.100	2187.000	C	
268	Spectrogram 1	1	3290.218260464	3290.783827446	1867.100	2187.000	C	
275	Spectrogram 1	1	3317.431882472	3317.997449453	1867.100	2187.000	C	
285	Spectrogram 1	1	3354.467485802	3355.033052783	1867.100	2187.000	C	
296	Spectrogram 1	1	3395.032500860	3395.598067841	1867.100	2187.000	C	
306	Spectrogram 1	1	3433.066556192	3433.632123174	1867.100	2187.000	C	
316	Spectrogram 1	1	3469.777082126	3470.342649108	1867.100	2187.000	C	
323	Spectrogram 1	1	3495.713614364	3496.279181346	1867.100	2187.000	C	
330	Spectrogram 1	1	3520.256957762	3520.822524743	1867.100	2187.000	C	
337	Spectrogram 1	1	3547.865316608	3548.430883589	1867.100	2187.000	C	
351	Spectrogram 1	1	3598.136213918	3598.701780900	1867.100	2187.000	C	
359	Spectrogram 1	1	3636.541786274	3637.107353256	1867.100	2187.000	C	
364	Spectrogram 1	1	3659.320423808	3659.885990789	1867.100	2187.000	C	
378	Spectrogram 1	1	3711.797203448	3712.362770429	1867.100	2187.000	C	
384	Spectrogram 1	1	3737.130020522	3737.695587504	1867.100	2187.000	C	
392	Spectrogram 1	1	3780.017016980	3780.582583961	1867.100	2187.000	C	
412	Spectrogram 1	1	3862.865313332	3863.430880313	1867.100	2187.000	C	
420	Spectrogram 1	1	3893.724446138	3894.290013119	1867.100	2187.000	C	
428	Spectrogram 1	1	3923.445808058	3924.011375039	1867.100	2187.000	C	
438	Spectrogram 1	1	3963.616086278	3964.181653259	1867.100	2187.000	C	
459	Spectrogram 1	1	4039.707416756	4040.272983737	1867.100	2187.000	C	
466	Spectrogram 1	1	4065.945806576	4066.511373558	1867.100	2187.000	C	
476	Spectrogram 1	1	4106.464382006	4107.029948988	1867.100	2187.000	C	
486	Spectrogram 1	1	4151.975217446	4152.540784428	1867.100	2187.000	C	
495	Spectrogram 1	1	4191.448901246	4192.014468228	1867.100	2187.000	C	
505	Spectrogram 1	1	4237.865309432	4238.430876414	1867.100	2187.000	C	
515	Spectrogram 1	1	4275.852925136	4276.418492118	1867.100	2187.000	C	
524	Spectrogram 1	1	4313.376144560	4313.941711541	1867.100	2187.000	C	
532	Spectrogram 1	1	4360.489147166	4361.054714147	1867.100	2187.000	C	
539	Spectrogram 1	1	4395.667165376	4396.232732358	1867.100	2187.000	C	
572	Spectrogram 1	1	3814.807230632	3815.340225693	2060.900	2250.000	C	
582	Spectrogram 1	1	3999.099149045	3999.507778592	1909.700	2250.000	C	
606	Spectrogram 1	1	4426.188071004	4426.827665077	1947.500	2306.700	C	
10	Spectrogram 1	1	2302.533216167	2303.314942256	1947.500	2325.600	D	
21	Spectrogram 1	1	2346.611906822	2347.198201389	1966.400	2287.800	D	
28	Spectrogram 1	1	2373.936785147	2374.647445229	1985.300	2325.600	D	
39	Spectrogram 1	1	2418.868266994	2419.543394072	1966.400	2306.700	D	
46	Spectrogram 1	1	2457.350509507	2457.794672058	2004.200	2287.800	D	
58	Spectrogram 1	1	2499.545946674	2500.345439266	2004.200	2287.800	D	
65	Spectrogram 1	1	2528.061181542	2528.700775615	1947.500	2287.800	D	
74	Spectrogram 1	1	2565.832763067	2566.490123642	1928.600	2231.100	D	
84	Spectrogram 1	1	2606.642416441	2607.335310020	1871.800	2306.700	D	
95	Spectrogram 1	1	2652.213488995	2652.941915579	1928.600	2306.700	D	
104	Spectrogram 1	1	2688.066288300	2688.759181880	1966.400	2287.800	D	
115	Spectrogram 1	1	2731.540917886	2732.038379943	1947.500	2287.800	D	
133	Spectrogram 1	1	2759.273993540	2759.932834657	1955.400	2294.100	D	
140	Spectrogram 1	1	2786.487615548	2787.146456665	1955.400	2294.100	D	
148	Spectrogram 1	1	2820.226005290	2820.884846407	1955.400	2294.100	D	
159	Spectrogram 1	1	2863.020122492	2863.678963609	1955.400	2294.100	D	
167	Spectrogram 1	1	2895.179564882	2895.838405999	1955.400	2294.100	D	
174	Spectrogram 1	1	2923.995354056	2924.654195173	1955.400	2294.100	D	
184	Spectrogram 1	1	2963.260059530	2963.918900647	1955.400	2294.100	D	
192	Spectrogram 1	1	2994.839006570	2995.497847687	1955.400	2294.100	D	
197	Spectrogram 1	1	3013.600616282	3014.259457399	1955.400	2294.100	D	
209	Spectrogram 1	1	3061.108355726	3061.767196843	1955.400	2294.100	D	
218	Spectrogram 1	1	3096.030955982	3096.689797099	1955.400	2294.100	D	
228	Spectrogram 1	1	3136.061915318	3136.720756435	1955.400	2294.100	D	
237	Spectrogram 1	1	3171.797209064	3172.456050181	1955.400	2294.100	D	
