BirdID,RecA Time,RecA End,nsk
power1,3745.996279298,3747.3583816801665,1
power2,3746.0007207120693,3747.551098228486,1
power2,3748.8117821769692,3750.121391790969,1
power1,3749.223833444,3750.6141600772,1
power2,3752.064249987597,3753.48188140187,1
power1,3753.124762196,3754.5100071708002,1
power2,3754.6662242360994,3756.2313299495995,1
power1,3756.932811692,3758.3328734473002,1
power2,3757.244966571669,3758.497839159169,1
power2,3759.6610855167073,3761.1327008453436,1
power1,3760.880180072,3762.0592154772144,1
power2,3762.6115384592053,3763.8389324471145,1
power1,3763.852316264,3765.297667767091,1
power2,3765.2599765335735,3766.4783685069733,1
power2,3767.6993273915446,3769.3332500873066,1
power1,3768.078322412,3769.331314645636,1
power2,3770.5445918540017,3771.531817991002,1
power1,3771.25943693,3772.7137197075454,1
power2,3772.4618695428217,3774.0122470592382,1
power1,3775.253244938,3776.6384899128,1
power2,3775.365858659454,3776.7834900737266,1
power2,3778.2930796890187,3779.5114716624184,1
power1,3778.782656666,3780.1827184213003,1
power2,3780.639502895258,3781.866896883167,1
power2,3783.148549492028,3784.713655205528,1
power1,3785.121665888,3786.3470958284997,1
power2,3786.6101045190535,3787.690438904515,1
power1,3788.488538918,3789.933890421091,1
power2,3790.0495105050945,3791.4130267242945,1
power2,3792.2786912747197,3793.5315638622196,1
power1,3793.225380974,3794.5874833561666,1
power2,3795.02005700082,3796.4916723294564,1
power2,3798.0402056821176,3799.0274318191177,1
power1,3798.101541914,3799.4918685472,1
power2,3800.1078459331598,3801.741768628922,1
power2,3803.0582988756582,3804.276690849058,1
power1,3804.92816723,3806.1072026352144,1
power2,3805.2420986913658,3806.807204404866,1
power1,3808.202161004,3809.5874059788002,1
power2,3808.2622473726633,3809.571856986663,1
power2,3811.259164141027,3812.809541657444,1
power1,3811.499374592,3812.8994363473003,1
power2,3814.5813276904546,3815.9989591047274,1
power1,3814.773368366,3816.026360599636,1
power2,3817.7176359364175,3818.9360279098173,1
power1,3818.581417862,3820.035700639545,1
power2,3820.4357697495852,3821.6631637374944,1
power1,3822.505566428,3823.8908114028,1
power2,3822.712497217025,3824.1841125456613,1
power2,3825.523558681925,3826.776431269425,1
power1,3826.452934808,3827.6783647485,1
power2,3828.427547798557,3830.061470494319,1
power1,3830.052005978,3831.497357481091,1
power2,3832.214349606645,3833.4417435945543,1
power1,3834.231572498,3835.6218991312,1
power2,3834.90925150688,3836.47435722038,1
power2,3837.7203129717795,3838.9387049451793,1
power1,3838.457578646,3839.6366140512146,1
power2,3840.6707659142785,3842.221143430695,1
power1,3841.49937428,3842.8846192548003,1
power2,3844.0161613766386,3845.0033875136387,1
power2,3846.4555122346096,3847.927127563246,1
power1,3846.816711686,3848.2167734413,1
power2,3849.5918204805726,3850.9014300945723,1
power1,3851.13559709,3852.388589323636,1
power2,3852.031171338543,3853.448802752816,1
power1,3854.409590864,3855.854942367091,1
power2,3854.726073238778,3856.2764507551947,1
power2,3858.048236788205,3859.275630776114,1
power1,3859.796174413,3861.250457190545,1
